ID,t,d0_s1,impr,warm,comp,valence,statval,statnum,statchar,Itemtype,x1,x2,x3,x4,x5,x6,x7,x8,itemnum,Meanval1,Meanval2
5,7,0,2.07,3,2.08,pos7,1,7,COMS3,2,-1,1,1,1,1,0,0,0,3,5.82,5.88
5,8,0,2.07,3,2.08,neut7,0,7,NS7,9,8,0,0,0,0,0,0,0,7,4.16,4.12
5,9,0,2.07,3,2.08,pos9,1,9,ITS1,3,-1,1,1,-1,-1,0,0,0,1,6.03,6.07
5,10,0,3,2.46,2.54,neut2,0,2,NS2,9,8,0,0,0,0,0,0,0,2,4.29,4.21
5,11,0,3,2.46,2.54,neut3,0,3,NS3,9,8,0,0,0,0,0,0,0,3,4.17,4.11
5,12,0,-1.03,-2.06,-1.02,neg9,-1,9,LIS1,7,-1,-1,0,0,0,1,-1,-1,1,2.3,2.11
5,13,0,-1.03,-2.06,-1.02,neut8,0,8,NS8,9,8,0,0,0,0,0,0,0,8,4.39,4.33
5,14,0,-1.03,-2.06,-2.54,neg14,-1,14,INCSS2,8,-1,-1,0,0,0,-1,0,0,2,2.49,2.28
5,15,0,-1.03,-2.06,-2.54,neg7,-1,7,INCPS3,6,-1,-1,0,0,0,1,1,1,3,2.56,2.38
5,16,0,-1.03,-2.06,-2.54,neut1,0,1,NS1,9,8,0,0,0,0,0,0,0,1,4.34,4.25
5,17,0,-1.03,-1.52,0.03,neg1,-1,1,RS1,5,-1,-1,0,0,0,-1,0,0,1,1.86,1.63
5,18,0,-2.57,-1.52,-2.99,neg16,-1,16,INCSS4,8,-1,-1,0,0,0,-1,0,0,4,2.33,2.1
5,19,0,3,3,2.11,pos13,1,13,CONS1,4,-1,1,-1,0,0,0,0,0,1,5.9,5.94
5,20,0,3,2.46,2.54,pos10,1,10,ITS2,3,-1,1,1,-1,-1,0,0,0,2,6.24,6.31
5,21,0,3,3,2.06,pos16,1,16,CONS4,4,-1,1,-1,0,0,0,0,0,4,5.97,6.07
5,22,0,2.08,3,2.06,pos11,1,11,ITS3,3,-1,1,1,-1,-1,0,0,0,3,6.16,6.2
5,23,0,-2.07,-2.05,-2.55,neg6,-1,6,INCPS2,6,-1,-1,0,0,0,1,1,1,2,2.82,2.64
5,24,0,1.53,-2.05,-2.55,neg5,-1,5,INCPS1,6,-1,-1,0,0,0,1,1,1,1,2.52,2.36
5,25,0,3,3,2.06,pos12,1,12,ITS4,3,-1,1,1,-1,-1,0,0,0,4,6.18,6.3
5,26,0,-2.99,-2.99,-0.57,neg13,-1,13,INCSS1,8,-1,-1,0,0,0,-1,0,0,1,2.05,1.84
5,27,0,-2.99,-2.05,-2.04,neg4,-1,4,RS4,5,-1,-1,0,0,0,-1,0,0,4,2.4,2.2
5,28,0,-2.99,-2.05,-2.04,neut6,0,6,NS6,9,8,0,0,0,0,0,0,0,6,4.31,4.3
5,29,0,-2.99,-2.99,-2.04,neg10,-1,10,LIS2,7,-1,-1,0,0,0,1,-1,-1,2,2.36,2.21
5,30,0,2.64,2.55,2.59,pos5,1,5,COMS1,2,-1,1,1,1,1,0,0,0,1,6.11,6.17
5,31,0,-2.07,0,-2.99,neg8,-1,8,INCPS4,6,-1,-1,0,0,0,1,1,1,4,2.67,2.48
5,32,0,-2.99,-2.99,-2.03,neg11,-1,11,LIS3,7,-1,-1,0,0,0,1,-1,-1,3,1.9,1.68
5,33,0,1.07,1.06,-0.04,pos4,1,4,KS4,1,-1,1,-1,0,0,0,0,0,4,5.78,5.81
5,34,0,2.1,2.12,1.55,pos2,1,2,KS2,1,-1,1,-1,0,0,0,0,0,2,5.89,5.98
5,35,0,2.1,2.12,1.55,neut5,0,5,NS5,9,8,0,0,0,0,0,0,0,5,4.3,4.25
5,36,0,-1.99,-2.04,-2.08,neg15,-1,15,INCSS3,8,-1,-1,0,0,0,-1,0,0,3,2.49,2.31
5,37,0,2.15,2.09,3,pos6,1,6,COMS2,2,-1,1,1,1,1,0,0,0,2,6.1,6.17
5,38,0,-2.01,-0.97,-0.52,neg12,-1,12,LIS4,7,-1,-1,0,0,0,1,-1,-1,4,2.79,2.62
5,39,0,-2.99,-2.99,-2.09,neg3,-1,3,RS3,5,-1,-1,0,0,0,-1,0,0,3,2.12,1.91
5,40,0,2.51,2.56,0.49,pos1,1,1,KS1,1,-1,1,-1,0,0,0,0,0,1,5.91,6.01
6,1,0,-2.54,-1.61,0,neg2,-1,2,RS2,5,-1,-1,0,0,0,-1,0,0,2,2.48,2.35
6,2,0,-1.74,-1.23,0.64,pos5,1,5,COMS1,2,-1,1,1,1,1,0,0,0,1,6.11,6.17
6,3,0,-2.65,-2.13,-1.06,neg15,-1,15,INCSS3,8,-1,-1,0,0,0,-1,0,0,3,2.49,2.31
6,4,0,-0.07,0.71,1.28,pos15,1,15,CONS3,4,-1,1,-1,0,0,0,0,0,3,6.27,6.36
6,5,0,-1.68,0.49,-0.01,neut5,0,5,NS5,9,8,0,0,0,0,0,0,0,5,4.3,4.25
